
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                          Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                       139.4      1.049   0.005007   0.003593 9.07E-009 6.509E-009
g2100ch7400_n283632_sec_9      0.2433      1.015          0          0         0         0
g2100ch7400_n283632_sec_10     0.2433      1.015          0          0         0         0
g2100ch7400_n283632_sec_11     0.2432      1.015          0          0         0         0
g2100ch7400_n283632_sec_12     0.2433      1.015          0          0         0         0
g2100ch7400_n283632_sec_13     0.2431      1.014          0          0         0         0
g2100ch7400_n283632_sec_14     0.2431      1.014          0          0         0         0
g2100ch7400_n283632_sec_15     0.2433      1.015          0          0         0         0
g2100ch7400_n283632_sec_16     0.2432      1.015          0          0         0         0
g2100ch7400_n283632_sec_17     0.2432      1.015          0          0         0         0
g2100ch7400_n283632_sec_18     0.2433      1.015          0          0         0         0
g2100ch7400_n283632_sec_19     0.2433      1.015          0          0         0         0
g2100ch7400_n283632_sec_20     0.2433      1.016          0          0         0         0
g2100ch7400_n283632_sec_21     0.2434      1.016          0          0         0         0
g2100ch7400_n283632_sec_22     0.2434      1.016          0          0         0         0
g2100ch7400_n283632_sec_23     0.2433      1.016          0          0         0         0
g2100ch7400_n283632_sec_24     0.2433      1.015          0          0         0         0
g2100ci1500_n283687_sec_1      0.2428      1.013          0          0         0         0
g2100ci1500_n283687_sec_2      0.2423      1.011          0          0         0         0
g2100ci1500_n283687_sec_3      0.2423      1.011          0          0         0         0
g2100ci1500_n283687_sec_4      0.2422      1.011          0          0         0         0
g2100ci1500_n283687_sec_5      0.2426      1.013          0          0         0         0
g2100ci1500_n283687_sec_6      0.2426      1.013          0          0         0         0
g2100ci1500_n283687_sec_7      0.2426      1.012          0          0         0         0
g2100ci3400_n1370071_sec_1     0.2471      1.031          0          0         0         0
g2100ci4600_n283694_sec_1      0.2418      1.009          0          0         0         0
g2100ci4600_n283694_sec_2      0.2415      1.008          0          0         0         0
g2100ci4600_n283694_sec_3      0.2416      1.008          0          0         0         0
g2100ci4600_n283694_sec_4      0.2414      1.008          0          0         0         0
g2100ci4600_n283694_sec_5      0.2419       1.01          0          0         0         0
g2100ci4600_n283694_sec_6       0.242       1.01          0          0         0         0
g2100ci6400_n283690_sec_1       0.286      1.032  0.0004031     0.1409 0.0002104   0.07357
g2100cj3000_n283718_sec_1      0.2425      1.012          0          0         0         0
g2100cj3000_n283718_sec_2      0.2427      1.013          0          0         0         0
g2100cj3000_n283718_sec_3      0.2427      1.013          0          0         0         0
g2100cj3000_n283718_sec_4      0.2425      1.012          0          0         0         0
g2100cj3000_n283718_sec_5      0.2429      1.014          0          0         0         0
g2100cj3000_n283718_sec_6      0.2425      1.012          0          0         0         0
g2100cj3400_n283737_sec_1      0.2434      1.016          0          0         0         0
g2100cj3400_n283737_sec_2      0.2432      1.015          0          0         0         0
g2100cj3400_n283737_sec_3      0.2432      1.015          0          0         0         0
g2100cj3400_n283737_sec_4      0.2434      1.016          0          0         0         0
g2100ck4000_n283780_sec_1      0.2424      1.012          0          0         0         0
g2100ck4000_n283780_sec_2      0.2421       1.01          0          0         0         0
g2100ck4000_n283780_sec_3      0.2422      1.011          0          0         0         0
g2100ck4000_n283780_sec_4      0.2423      1.011          0          0         0         0
g2100ck4000_n283780_sec_5      0.2422      1.011          0          0         0         0
g2100ck4000_n283780_sec_6      0.2417      1.009          0          0         0         0
g2100ck4100_n283759_sec_1      0.2425      1.012          0          0         0         0
g2100ck4100_n283759_sec_2      0.2425      1.012          0          0         0         0
g2100ck4100_n283759_sec_3      0.2424      1.012          0          0         0         0
g2100ck4100_n283759_sec_4      0.2419      1.009          0          0         0         0
g2100ck4100_n283759_sec_5      0.2425      1.012          0          0         0         0
g2100ck4100_n283759_sec_6      0.2424      1.012          0          0         0         0
g2100ck4100_n283759_sec_7      0.2424      1.012          0          0         0         0
g2100cl7400_n283783_sec_1      0.2426      1.013          0          0         0         0
g2100cl7400_n283783_sec_2      0.2425      1.012          0          0         0         0
g2100cl7400_n283783_sec_3      0.2425      1.012          0          0         0         0
g2100cl9700_n283793_sec_1      0.2443       1.02          0          0         0         0
g2100cl9700_n283793_sec_2      0.2438      1.018          0          0         0         0
g2100cl9700_n283793_sec_3      0.2435      1.016          0          0         0         0
g2100cm0100_n283805_sec_1      0.2431      1.014          0          0         0         0
g2100cm0100_n283805_sec_2      0.2432      1.015          0          0         0         0
g2100cm0100_n283805_sec_3      0.2424      1.012          0          0         0         0
g2100cm6300_n283822_sec_1       0.246      1.027          0          0         0         0
g2100cm8800_n283828_sec_1      0.2459      1.026          0          0         0         0
g2100cn2300_n283844_sec_1      0.2461      1.027          0          0         0         0
g2100cn2300_n283844_sec_2      0.2466      1.029          0          0         0         0
g2100cn4000_n283847_sec_1      0.2452      1.023          0          0         0         0
g2100cn4000_n283847_sec_2      0.2454      1.024          0          0         0         0
g2100cn4000_n283847_sec_3      0.2453      1.024          0          0         0         0
g2100cn4000_n283847_sec_4      0.2452      1.024          0          0         0         0
g2100cn4000_n283847_sec_5      0.2454      1.024          0          0         0         0
g2100cn4000_n283847_sec_6      0.2453      1.024          0          0         0         0
g2100cn4000_n283847_sec_7      0.2452      1.023          0          0         0         0
g2100cn4000_n283847_sec_8      0.2452      1.024          0          0         0         0
g2100cn4000_n283847_sec_9      0.2453      1.024          0          0         0         0
g2100cn4900_n283858_sec_1      0.2447      1.021          0          0         0         0
g2100cn4900_n283858_sec_2      0.2448      1.022          0          0         0         0
g2100cn4900_n283858_sec_3      0.2447      1.021          0          0         0         0
g2100cn4900_n283858_sec_4      0.2447      1.021          0          0         0         0
g2100cn4900_n283858_sec_5      0.2447      1.021          0          0         0         0
g2100cn4900_n283858_sec_6      0.2448      1.022          0          0         0         0
g2100cn4900_n283858_sec_7      0.2448      1.021          0          0         0         0
g2100cn4900_n283858_sec_8      0.2447      1.021          0          0         0         0
g2100cn4900_n283858_sec_9      0.2447      1.021          0          0         0         0
g2100cn4900_n283858_sec_10     0.2448      1.021          0          0         0         0
g2100cn4900_n283858_sec_11     0.2447      1.021          0          0         0         0
g2100cn4900_n283858_sec_12     0.2445      1.021          0          0         0         0
g2100cn4900_n283858_sec_13     0.2448      1.022          0          0         0         0
g2100cn5000_n283837_sec_1      0.2448      1.022          0          0         0         0
g2100cn5000_n283837_sec_2      0.2451      1.023          0          0         0         0
g2100cn9200_n283841_sec_1       0.246      1.027          0          0         0         0
g2100cn9200_n283841_sec_2       0.246      1.027          0          0         0         0
g2100cn9200_n283841_sec_3       0.246      1.027          0          0         0         0
g2100cn9200_n283841_sec_4       0.246      1.027          0          0         0         0
g2100co8200_n283869_sec_1      0.2448      1.022          0          0         0         0
g2100co8200_n283869_sec_2      0.2452      1.023          0          0         0         0
g2100co8200_n283869_sec_3       0.245      1.022          0          0         0         0
g2100co8200_n283869_sec_4      0.2451      1.023          0          0         0         0
g2100co8200_n283869_sec_5       0.245      1.023          0          0         0         0
g2100co8200_n283869_sec_6       0.245      1.023          0          0         0         0
g2100co8200_n283869_sec_7       0.245      1.023          0          0         0         0
g2100co8200_n283869_sec_8       0.245      1.023          0          0         0         0
g2100co8200_n283869_sec_9       0.245      1.023          0          0         0         0
g2100co8200_n283869_sec_10      0.245      1.023          0          0         0         0
g2100co8200_n283869_sec_11     0.2451      1.023          0          0         0         0
g2100co8200_n283869_sec_12     0.2452      1.023          0          0         0         0
g2100dg1300_n283601_sec_1      0.2452      1.023          0          0         0         0
g2100dg1300_n283601_sec_2      0.2453      1.024          0          0         0         0
g2100dg1300_n283601_sec_3      0.2452      1.023          0          0         0         0
g2100dg1300_n283601_sec_4      0.2452      1.023          0          0         0         0
g2100dg1300_n283601_sec_5      0.2451      1.023          0          0         0         0
g2100dg1300_n283601_sec_6      0.2453      1.024          0          0         0         0
g2100dg1300_n283601_sec_7      0.2452      1.023          0          0         0         0
g2100dg1300_n283601_sec_8      0.2451      1.023          0          0         0         0
g2100dg1300_n283601_sec_9      0.2452      1.023          0          0         0         0
g2100dg1300_n283601_sec_10      0.245      1.022          0          0         0         0
g2100dg1300_n283601_sec_11     0.2451      1.023          0          0         0         0
g2100dg1300_n283601_sec_12     0.2451      1.023          0          0         0         0
g2100dg1300_n283601_sec_13     0.2452      1.023          0          0         0         0
g2100dg1300_n283601_sec_14     0.2452      1.023          0          0         0         0
g2100dg1300_n283601_sec_15     0.2451      1.023          0          0         0         0
g2100dg1300_n283601_sec_16     0.2452      1.023          0          0         0         0
g2100dg3700_n283614_sec_1      0.2451      1.023          0          0         0         0
g2100dg3700_n283614_sec_2      0.2451      1.023          0          0         0         0
g2100dg3700_n283614_sec_3      0.2451      1.023          0          0         0         0
g2100dg3700_n283614_sec_4      0.2451      1.023          0          0         0         0
g2100dg3700_n283614_sec_5       0.245      1.022          0          0         0         0
g2100dg3700_n283614_sec_6      0.2451      1.023          0          0         0         0
g2100dg3700_n283614_sec_7       0.245      1.022          0          0         0         0
g2100dg3700_n283614_sec_8      0.2449      1.022          0          0         0         0
g2100dg3700_n283614_sec_9       0.245      1.022          0          0         0         0
g2100dg3700_n283614_sec_10     0.2449      1.022          0          0         0         0
g2100dg3700_n283614_sec_11     0.2451      1.023          0          0         0         0
g2100dg3700_n283614_sec_12     0.2447      1.021          0          0         0         0
g2100dg3700_n283614_sec_13      0.245      1.023          0          0         0         0
g2100dg3700_n283614_sec_14      0.245      1.023          0          0         0         0
g2100dg3700_n283614_sec_15      0.245      1.023          0          0         0         0
g2100dg3700_n283614_sec_16      0.245      1.023          0          0         0         0
g2100dg3700_n283614_sec_17      0.245      1.023          0          0         0         0
g2100dg3700_n283614_sec_18      0.245      1.022          0          0         0         0
g2100dg3700_n283614_sec_19     0.2449      1.022          0          0         0         0
g2100dg3700_n283614_sec_20      0.245      1.022          0          0         0         0
g2100dg3700_n283614_sec_21     0.2447      1.021          0          0         0         0
g2100dg6300_n283589_sec_1       0.246      1.027          0          0         0         0
g2100dg6300_n283589_sec_2       0.246      1.027          0          0         0         0
g2100dg6300_n283589_sec_3       0.246      1.027          0          0         0         0
g2100dg6300_n283589_sec_4      0.2461      1.027          0          0         0         0
g2100dg6300_n283589_sec_5       0.246      1.027          0          0         0         0
g2100dg6300_n283589_sec_6      0.2461      1.027          0          0         0         0
g2100dg6300_n283589_sec_7       0.246      1.027          0          0         0         0
g2100dg6300_n283589_sec_8       0.246      1.027          0          0         0         0
g2100dg6300_n283589_sec_9      0.2459      1.026          0          0         0         0
g2100dg6300_n283589_sec_10      0.246      1.027          0          0         0         0
g2100dg6300_n283589_sec_11      0.246      1.027          0          0         0         0
g2100dg6300_n283589_sec_12      0.246      1.027          0          0         0         0
g2100dh7600_n283641_sec_1      0.2439      1.018          0          0         0         0
g2100dh7600_n283641_sec_2      0.2432      1.015          0          0         0         0
g2100dh9500_n292300_sec_1      0.2458      1.026          0          0         0         0
g2100dh9500_n292300_sec_2      0.2458      1.026          0          0         0         0
g2100dh9500_n292300_sec_3      0.2456      1.025          0          0         0         0
g2100dh9500_n292300_sec_4       0.246      1.027          0          0         0         0
g2100dh9500_n292300_sec_5      0.2458      1.026          0          0         0         0
g2100dh9500_n292300_sec_6      0.2448      1.022          0          0         0         0
g2100dj0100_n283721_sec_1      0.2417      1.009          0          0         0         0
g2100dj0100_n283721_sec_2      0.2416      1.008          0          0         0         0
g2100dj0100_n283721_sec_3      0.2412      1.007          0          0         0         0
g2100dj0100_n283721_sec_4      0.2416      1.008          0          0         0         0
g2100dj0100_n283721_sec_5      0.2412      1.007          0          0         0         0
g2100dj0100_n283721_sec_6      0.2413      1.007          0          0         0         0
g2100dj0100_n283721_sec_7      0.2409      1.005          0          0         0         0
g2100dj0500_n283740_sec_1      0.2433      1.015          0          0         0         0
g2100dj0500_n283740_sec_2      0.2431      1.015          0          0         0         0
g2100dj0500_n283740_sec_3      0.2435      1.016          0          0         0         0
g2100dj0500_n283740_sec_4       0.243      1.014          0          0         0         0
g2100dj0500_n283740_sec_5       0.243      1.014          0          0         0         0
g2100dj0500_n283740_sec_6      0.2432      1.015          0          0         0         0
g2100dj7200_n292334_sec_1      0.2424      1.012          0          0         0         0
g2100dj7200_n292334_sec_2      0.2424      1.012          0          0         0         0
g2100dj7200_n292334_sec_3      0.2426      1.012          0          0         0         0
g2100dj7200_n292334_sec_4       0.242       1.01          0          0         0         0
g2100dj7200_n292334_sec_5      0.2428      1.014          0          0         0         0
g2100dk1500_n283758_sec_1      0.2427      1.013          0          0         0         0
g2100dk1500_n283758_sec_2      0.2426      1.013          0          0         0         0
g2100dk1500_n283758_sec_3      0.2428      1.013          0          0         0         0
g2100dk1500_n283758_sec_4      0.2424      1.012          0          0         0         0
g2100dk1500_n283758_sec_5      0.2429      1.014          0          0         0         0
g2100dk1500_n283758_sec_6      0.2428      1.013          0          0         0         0
g2100dk1500_n283758_sec_7      0.2428      1.014          0          0         0         0
g2100dl2300_n283786_sec_1      0.2437      1.017          0          0         0         0
g2100dl5900_n283794_sec_1       0.246      1.027          0          0         0         0
g2100dl5900_n283794_sec_2      0.2456      1.025          0          0         0         0
g2100dl9400_n283794_sec_1      0.2467       1.03          0          0         0         0
g2100dl9600_n1396879_sec_1     0.2472      1.032          0          0         0         0
g2100dl9600_n1396879_sec_2     0.2471      1.031          0          0         0         0
g2100dl9600_n1396879_sec_3     0.2473      1.032          0          0         0         0
g2100dl9600_n1396879_sec_4     0.2472      1.032          0          0         0         0
g2100dl9600_n1396879_sec_5     0.2472      1.032          0          0         0         0
g2100dl9600_n1396879_sec_6     0.2471      1.031          0          0         0         0
g2100dl9800_n283744_sec_1      0.2391     0.9978          0          0         0         0
g2100dl9800_n283744_sec_2      0.2396          1          0          0         0         0
g2100dl9800_n283744_sec_3      0.2393     0.9986          0          0         0         0
g2100dl9800_n283744_sec_4      0.2397      1.001          0          0         0         0
g2100dl9800_n283744_sec_5      0.2395     0.9994          0          0         0         0
g2100dl9800_n283744_sec_6      0.2393     0.9989          0          0         0         0
g2100dl9800_n283744_sec_7      0.2395     0.9995          0          0         0         0
g2100dl9800_n283744_sec_8      0.2395     0.9996          0          0         0         0
g2100dm2900_n283831_sec_1      0.2458      1.026          0          0         0         0
g2100dm2900_n283831_sec_2       0.246      1.027          0          0         0         0
g2100dm3200_n283818_sec_1      0.2439      1.018          0          0         0         0
g2100dm3200_n283818_sec_2      0.2442      1.019          0          0         0         0
g2100dm3200_n283818_sec_3      0.2448      1.022          0          0         0         0
g2100dm3200_n283818_sec_4      0.2435      1.016          0          0         0         0
g2100dm6300_n283816_sec_1      0.2456      1.025          0          0         0         0
g2100dm6300_n283816_sec_2      0.2453      1.024          0          0         0         0
g2100dm6300_n283816_sec_3      0.2456      1.025          0          0         0         0
g2100dm6300_n283816_sec_4      0.2456      1.025          0          0         0         0
g2100dm6300_n283816_sec_5      0.2455      1.025          0          0         0         0
g2100dn3000_n283838_sec_1      0.2444       1.02          0          0         0         0
g2100dn3000_n283838_sec_2      0.2443       1.02          0          0         0         0
g2100dn3000_n283838_sec_3      0.2441      1.019          0          0         0         0
g2100dn3000_n283838_sec_4      0.2444       1.02          0          0         0         0
g2100dn3000_n283838_sec_5      0.2444       1.02          0          0         0         0
g2100dn3000_n283838_sec_6      0.2444       1.02          0          0         0         0
g2100dn3000_n283838_sec_7      0.2442      1.019          0          0         0         0
g2100dn3000_n283838_sec_8      0.2443      1.019          0          0         0         0
g2100dn3000_n283838_sec_9      0.2445       1.02          0          0         0         0
g2100dn3000_n283838_sec_10     0.2444       1.02          0          0         0         0
g2100dn3000_n283838_sec_11     0.2443       1.02          0          0         0         0
g2100dn3000_n283838_sec_12     0.2444       1.02          0          0         0         0
g2100dn3000_n283838_sec_13     0.2445       1.02          0          0         0         0
g2100dn3000_n283838_sec_14     0.2444       1.02          0          0         0         0
g2100dn3000_n283838_sec_15     0.2445       1.02          0          0         0         0
g2100dn3000_n283838_sec_16     0.2444       1.02          0          0         0         0
g2100dn3000_n283838_sec_17     0.2443       1.02          0          0         0         0
g2100dn3000_n283838_sec_18     0.2444       1.02          0          0         0         0
g2100dn4800_n283861_sec_1      0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_2      0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_3      0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_4      0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_5      0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_6      0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_7      0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_8      0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_9      0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_10     0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_11     0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_12     0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_13     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_14     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_15     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_16     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_17     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_18     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_19     0.2452      1.023          0          0         0         0
g2100dn4800_n283861_sec_20     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_21     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_22     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_23     0.2452      1.024          0          0         0         0
g2100dn4800_n283861_sec_24     0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_25     0.2451      1.023          0          0         0         0
g2100dn4800_n283861_sec_26     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_27     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_28     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_29     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_30     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_31     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_32     0.2452      1.023          0          0         0         0
g2100dn4800_n283861_sec_33     0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_34     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_35     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_36     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_37     0.2452      1.023          0          0         0         0
g2100dn4800_n283861_sec_38     0.2452      1.023          0          0         0         0
g2100dn4800_n283861_sec_39     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_40     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_41     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_42     0.2452      1.023          0          0         0         0
g2100dn4800_n283861_sec_43     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_44     0.2451      1.023          0          0         0         0
g2100dn4800_n283861_sec_45     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_46     0.2452      1.024          0          0         0         0
g2100dn4800_n283861_sec_47     0.2452      1.024          0          0         0         0
g2100dn4800_n283861_sec_48     0.2452      1.024          0          0         0         0
g2100dn4800_n283861_sec_49     0.2451      1.023          0          0         0         0
g2100dn4800_n283861_sec_50     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_51     0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_52     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_53     0.2452      1.023          0          0         0         0
g2100dn4800_n283861_sec_54     0.2452      1.024          0          0         0         0
g2100dn4800_n283861_sec_55     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_56     0.2452      1.023          0          0         0         0
g2100dn4800_n283861_sec_57     0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_58     0.2454      1.024          0          0         0         0
g2100dn4800_n283861_sec_59     0.2452      1.023          0          0         0         0
g2100dn4800_n283861_sec_60     0.2453      1.024          0          0         0         0
g2100dn4800_n283861_sec_61     0.2454      1.024          0          0         0         0
g2100do7000_n283865_sec_1      0.2464      1.028          0          0         0         0
g2100do7000_n283865_sec_2      0.2463      1.028          0          0         0         0
g2100do7000_n283865_sec_3      0.2464      1.028          0          0         0         0
g2100do7000_n283865_sec_4      0.2464      1.028          0          0         0         0
g2100do7000_n283865_sec_5      0.2464      1.028          0          0         0         0
g2100do7000_n283865_sec_6      0.2463      1.028          0          0         0         0
g2100do7000_n283865_sec_7      0.2464      1.028          0          0         0         0
g2100ef2800_n292264_sec_1      0.2812      1.015  0.0005846     0.2079 0.0003365    0.1197
g2100eg8500_n292275_sec_1      0.2463      1.028          0          0         0         0
g2100eg8500_n292275_sec_2      0.2464      1.028          0          0         0         0
g2100eg8500_n292275_sec_3      0.2462      1.028          0          0         0         0
g2100eg8500_n292275_sec_4      0.2463      1.028          0          0         0         0
g2100eg8500_n292275_sec_5      0.2464      1.028          0          0         0         0
g2100eg8500_n292275_sec_6      0.2464      1.028          0          0         0         0
g2100eg8500_n292275_sec_7      0.2464      1.028          0          0         0         0
g2100eg8500_n292275_sec_8      0.2464      1.028          0          0         0         0
g2100eg8700_n292270_sec_1      0.2816      1.016   0.000531     0.1885 0.0003057    0.1085
g2100eg8700_n292270_sec_2      0.2821      1.018  0.0005198     0.1843 0.0002988    0.1059
g2100eg8700_n292270_sec_3       0.282      1.017  0.0005225     0.1853 0.0003004    0.1066
g2100eg8700_n292270_sec_4      0.2819      1.017  0.0005249     0.1862 0.0003019    0.1071
g2100eg8700_n292270_sec_5      0.2821      1.018  0.0005195     0.1842 0.0002986    0.1059
g2100eg8700_n292270_sec_6      0.2822      1.018  0.0005152     0.1825 0.0002959    0.1049
g2100eg8700_n292270_sec_7      0.2815      1.016  0.0005341     0.1897 0.0003076    0.1093
g2100eg9700_n292283_sec_1      0.2818      1.017  0.0007657     0.2717 0.0005174    0.1836
g2100eg9700_n292283_sec_2      0.2822      1.018  0.0007538     0.2671 0.0005103    0.1808
g2100eg9700_n292283_sec_3      0.2822      1.018  0.0007541     0.2672 0.0005105    0.1809
g2100eg9700_n292283_sec_4      0.2814      1.015  0.0007775     0.2763 0.0005244    0.1863
g2100eg9700_n292283_sec_5       0.282      1.018  0.0007588     0.2691 0.0005133     0.182
g2100eh3200_n292286_sec_1       0.244      1.019          0          0         0         0
g2100eh3700_n292308_sec_1      0.2444       1.02          0          0         0         0
g2100eh3700_n292308_sec_2      0.2443       1.02          0          0         0         0
g2100eh3700_n292308_sec_3      0.2446      1.021          0          0         0         0
g2100eh3700_n292308_sec_4      0.2445      1.021          0          0         0         0
g2100eh3700_n292308_sec_5      0.2445      1.021          0          0         0         0
g2100eh3700_n292308_sec_6      0.2446      1.021          0          0         0         0
g2100eh3700_n292308_sec_7      0.2445      1.021          0          0         0         0
g2100eh3700_n292308_sec_8      0.2444       1.02          0          0         0         0
g2100eh3700_n292308_sec_9      0.2445      1.021          0          0         0         0
g2100eh3700_n292308_sec_10     0.2446      1.021          0          0         0         0
g2100eh3700_n292308_sec_11     0.2446      1.021          0          0         0         0
g2100eh3700_n292308_sec_12     0.2446      1.021          0          0         0         0
g2100ek1100_n292334_sec_1       0.242       1.01          0          0         0         0
g2100ek1100_n292334_sec_2      0.2413      1.007          0          0         0         0
g2100ek1100_n292334_sec_3      0.2422      1.011          0          0         0         0
g2100ek1100_n292334_sec_4      0.2424      1.012          0          0         0         0
g2100ek1100_n292334_sec_5       0.242       1.01          0          0         0         0
g2100ek1100_n292334_sec_6      0.2427      1.013          0          0         0         0
g2100ek1100_n292334_sec_7      0.2423      1.011          0          0         0         0
g2100ek2800_n292334_sec_1      0.2419       1.01          0          0         0         0
g2100ek2800_n292334_sec_2      0.2422      1.011          0          0         0         0
g2100ek2800_n292334_sec_3      0.2421      1.011          0          0         0         0
g2100ek2800_n292334_sec_4      0.2418      1.009          0          0         0         0
g2100ek2800_n292334_sec_5      0.2421       1.01          0          0         0         0
g2100ek2800_n292334_sec_6      0.2421       1.01          0          0         0         0
g2100ek2800_n292334_sec_7      0.2421       1.01          0          0         0         0
g2100ek2800_n292334_sec_8      0.2421      1.011          0          0         0         0
g2100ek7600_n292399_sec_1      0.2437      1.017          0          0         0         0
g2100ek7600_n292399_sec_2      0.2435      1.016          0          0         0         0
g2100ek8800_n292347_sec_1      0.2409      1.005          0          0         0         0
g2100ek8800_n292347_sec_2      0.2409      1.006          0          0         0         0
g2100ek8800_n292347_sec_3      0.2405      1.004          0          0         0         0
g2100ek8800_n292347_sec_4      0.2406      1.004          0          0         0         0
g2100ek8800_n292347_sec_5      0.2405      1.004          0          0         0         0
g2100ek8800_n292347_sec_6      0.2408      1.005          0          0         0         0
g2100ek8800_n292347_sec_7      0.2408      1.005          0          0         0         0
g2100ek8800_n292347_sec_8      0.2408      1.005          0          0         0         0
g2100ek8800_n292347_sec_9      0.2409      1.005          0          0         0         0
g2100ek8800_n292347_sec_10     0.2405      1.004          0          0         0         0
g2100ek8800_n292347_sec_11     0.2408      1.005          0          0         0         0
g2100ek8800_n292347_sec_12     0.2409      1.005          0          0         0         0
g2100ek8800_n292347_sec_13      0.241      1.006          0          0         0         0
g2100ek8800_n292347_sec_14     0.2408      1.005          0          0         0         0
g2100ek8800_n292347_sec_15     0.2405      1.004          0          0         0         0
g2100em1500_n292428_sec_1      0.2452      1.023          0          0         0         0
g2100em1500_n292428_sec_2      0.2452      1.023          0          0         0         0
g2100em1500_n292428_sec_3      0.2453      1.024          0          0         0         0
g2100em1500_n292428_sec_4      0.2453      1.024          0          0         0         0
g2100em1500_n292428_sec_5      0.2454      1.024          0          0         0         0
g2100em1500_n292428_sec_6      0.2453      1.024          0          0         0         0
g2100em1500_n292428_sec_7      0.2452      1.023          0          0         0         0
g2100em2500_n292390_sec_1      0.2392     0.9985          0          0         0         0
g2100em2500_n292390_sec_2      0.2396     0.9999          0          0         0         0
g2100em2500_n292390_sec_3      0.2397      1.001          0          0         0         0
g2100em2500_n292390_sec_4      0.2393     0.9986          0          0         0         0
g2100em2500_n292390_sec_5      0.2392     0.9983          0          0         0         0
g2100em2500_n292390_sec_6      0.2391     0.9978          0          0         0         0
g2100em2500_n292390_sec_7      0.2396     0.9999          0          0         0         0
g2100em2500_n292390_sec_8      0.2395     0.9998          0          0         0         0
g2100em2500_n292390_sec_9      0.2394     0.9991          0          0         0         0
g2100em2500_n292390_sec_10     0.2396     0.9998          0          0         0         0
g2100em2500_n292390_sec_11     0.2396          1          0          0         0         0
g2100em2500_n292390_sec_12     0.2396          1          0          0         0         0
g2100em2500_n292390_sec_13     0.2396     0.9999          0          0         0         0
g2100em2500_n292390_sec_14     0.2393     0.9986          0          0         0         0
g2100em2500_n292390_sec_15     0.2397          1          0          0         0         0
g2100em2500_n292390_sec_16     0.2393     0.9988          0          0         0         0
g2100em2500_n292390_sec_17     0.2392     0.9984          0          0         0         0
g2100em6500_n292425_sec_1      0.2448      1.022          0          0         0         0
g2100em6500_n292425_sec_2      0.2451      1.023          0          0         0         0
g2100em6500_n292425_sec_3      0.2451      1.023          0          0         0         0
g2100em6500_n292425_sec_4       0.245      1.023          0          0         0         0
g2100em6500_n292425_sec_5      0.2448      1.022          0          0         0         0
g2100em6500_n292425_sec_6      0.2451      1.023          0          0         0         0
g2100em6500_n292425_sec_7      0.2451      1.023          0          0         0         0
g2100em6500_n292425_sec_8      0.2449      1.022          0          0         0         0
g2100em6500_n292425_sec_9      0.2451      1.023          0          0         0         0
g2100en2200_n292457_sec_1      0.2411      1.006          0          0         0         0
